id,name,category,neighborhood,zip,phone,address,website,description,description_es,description_fa,description_vi
1,YMCA International Services,Refugee & Immigration Services,Southwest Houston,77057,346-297-2373,"6300 Westpark Dr, Ste 600, Houston, TX 77057",ymcahouston.org,Case management cultural orientation employment services and immigration legal help for refugees and immigrants in one of Houston's most diverse zip codes.,"Gestión de casos, orientación cultural, servicios de empleo y ayuda legal de inmigración para refugiados e inmigrantes en uno de los códigos postales más diversos de Houston.","مدیریت پرونده، آشنایی فرهنگی، خدمات اشتغال و کمک حقوقی مهاجرت برای پناهندگان و مهاجران در یکی از متنوع‌ترین کدهای پستی هیوستون.","Quản lý hồ sơ, định hướng văn hóa, dịch vụ việc làm và hỗ trợ pháp lý di trú cho người tị nạn và người nhập cư tại một trong những khu vực đa dạng nhất của Houston."
2,USCRI Houston,Refugee & Immigration Services,Southwest Houston,77082,,"11111 Richmond Ave, Suite 350, Houston, TX 77082",refugees.org,Field office of the U.S. Committee for Refugees and Immigrants providing integration support health navigation and partner referrals for newly arrived families.,"Oficina local del Comité de EE. UU. para Refugiados e Inmigrantes que brinda apoyo de integración, orientación de salud y referencias a organizaciones aliadas para familias recién llegadas.","دفتر محلی کمیته آمریکایی پناهندگان و مهاجران که حمایت ادغام، راهنمایی سلامت و معرفی به سازمان‌های همکار را برای خانواده‌های تازه‌وارد ارائه می‌دهد.","Văn phòng địa phương của Ủy ban Người Tị nạn và Người Nhập cư Hoa Kỳ, cung cấp hỗ trợ hòa nhập, hướng dẫn về sức khỏe và giới thiệu đến các tổ chức đối tác cho các gia đình mới đến."
3,CWS Houston,Refugee & Immigration Services,Sharpstown,77074,346-200-9951,"6671 Southwest Fwy, Ste 760, Houston, TX 77074",cwshouston.org,Resettlement case management housing assistance ESL and cultural orientation referrals and support for unaccompanied minors transitioning into local care.,"Gestión de casos de reasentamiento, ayuda con vivienda, clases de inglés (ESL), orientación cultural y apoyo a menores no acompañados en su transición a cuidado local.","مدیریت پرونده اسکان مجدد، کمک مسکن، کلاس‌های زبان انگلیسی (ESL)، آشنایی فرهنگی و حمایت از نوجوانان بدون همراه در انتقال به مراقبت محلی.","Quản lý hồ sơ tái định cư, hỗ trợ nhà ở, lớp học tiếng Anh (ESL), định hướng văn hóa và hỗ trợ trẻ vị thành niên không có người đi kèm trong quá trình chuyển sang chăm sóc tại địa phương."
4,Catholic Charities of the Archdiocese of Galveston-Houston,Refugee & Immigration Services,Midtown,77006,713-526-4611,"2900 Louisiana St, Houston, TX 77006",catholiccharities.org,Refugee resettlement immigration legal services family strengthening and senior services serving more than 85000 people a year across the region.,"Reasentamiento de refugiados, servicios legales de inmigración, fortalecimiento familiar y servicios para personas mayores; atiende a más de 85,000 personas al año en la región.","اسکان مجدد پناهندگان، خدمات حقوقی مهاجرت، تقویت خانواده و خدمات سالمندان؛ سالانه به بیش از ۸۵٬۰۰۰ نفر در این منطقه خدمت می‌کند.","Tái định cư người tị nạn, dịch vụ pháp lý di trú, củng cố gia đình và dịch vụ cho người cao tuổi; phục vụ hơn 85.000 người mỗi năm trong khu vực."
5,BPSOS-Houston,Refugee & Immigration Services,Alief,77072,281-530-6888,"11360 Bellaire Blvd, Ste 910, Houston, TX 77072",bpsos.org,Boat People S.O.S. affiliate supporting Vietnamese and other Southeast Asian immigrant and refugee families with case management and civic engagement.,"Afiliado de Boat People S.O.S. que apoya a familias inmigrantes y refugiadas vietnamitas y de otros países del sudeste asiático con gestión de casos y participación cívica.","شعبه‌ی Boat People S.O.S. که از خانواده‌های مهاجر و پناهنده ویتنامی و دیگر کشورهای جنوب شرق آسیا با مدیریت پرونده و مشارکت مدنی حمایت می‌کند.","Chi nhánh của Boat People S.O.S. hỗ trợ các gia đình nhập cư và tị nạn người Việt và các nước Đông Nam Á khác thông qua quản lý hồ sơ và tham gia hoạt động cộng đồng."
6,Houston Welcomes Refugees,Refugee & Immigration Services,Citywide,,979-255-5188,,houstonwelcomesrefugees.com,Volunteer welcome teams that deliver welcome kits and groceries and connect newly arrived refugees to critical resources in their first months.,"Equipos voluntarios de bienvenida que entregan kits de bienvenida y despensa, y conectan a refugiados recién llegados con recursos esenciales durante sus primeros meses.","تیم‌های داوطلب خوش‌آمدگویی که بسته‌های خوش‌آمدگویی و مواد غذایی تحویل می‌دهند و پناهندگان تازه‌وارد را در ماه‌های نخست به منابع حیاتی متصل می‌کنند.","Các đội tình nguyện chào đón trao tặng túi quà chào mừng và thực phẩm, kết nối người tị nạn mới đến với các nguồn hỗ trợ quan trọng trong những tháng đầu tiên."
7,BakerRipley Gulfton-Sharpstown Campus,Multi-Service Community Center,Gulfton,77074,713-273-3700,"6500 Rookin St, Houston, TX 77074",bakerripley.org,Five-building neighborhood campus offering early childhood education youth programs immigration services and a community garden for residents from 80-plus countries.,"Campus comunitario de cinco edificios que ofrece educación infantil temprana, programas juveniles, servicios de inmigración y un jardín comunitario para residentes de más de 80 países.","پردیس محله‌ای پنج‌ساختمانه که آموزش پیش‌دبستانی، برنامه‌های جوانان، خدمات مهاجرت و یک باغ اجتماعی برای ساکنان بیش از ۸۰ کشور ارائه می‌دهد.","Khuôn viên khu phố gồm năm tòa nhà, cung cấp giáo dục mầm non, chương trình cho thanh thiếu niên, dịch vụ di trú và một khu vườn cộng đồng dành cho cư dân từ hơn 80 quốc gia."
8,BakerRipley Adult Education,Education & ESL,Citywide,,713-273-3719,,economicinitiatives.bakerripley.org,Free ESL GED and computer literacy classes for adult learners at multiple campuses across Harris County with no minimum education requirement.,"Clases gratuitas de inglés (ESL), preparación para el GED y alfabetización informática para adultos en varios campus del condado de Harris, sin requisito mínimo de escolaridad.","کلاس‌های رایگان زبان انگلیسی (ESL)، دیپلم معادل (GED) و سواد رایانه‌ای برای بزرگسالان در چندین پردیس در سراسر شهرستان هریس، بدون حداقل سطح تحصیلات.","Lớp học tiếng Anh (ESL), GED và tin học miễn phí cho người lớn tại nhiều cơ sở trong Quận Harris, không yêu cầu trình độ học vấn tối thiểu."
9,Literacy Advance - Memorial Assistance Ministries,Education & ESL,Spring Branch,77080,713-468-4516,"1625 Blalock Rd, Houston, TX 77080",mamhouston.org,Free English and reading classes for adults running since 1964 supported by volunteer tutors plus citizenship and employment-readiness classes.,"Clases gratuitas de inglés y lectura para adultos, en funcionamiento desde 1964, con tutores voluntarios, además de clases de ciudadanía y preparación laboral.","کلاس‌های رایگان زبان انگلیسی و خواندن برای بزرگسالان که از سال ۱۹۶۴ با کمک آموزش‌دهندگان داوطلب برگزار می‌شود، همراه با کلاس‌های تابعیت و آمادگی شغلی.","Lớp học tiếng Anh và đọc miễn phí cho người lớn, hoạt động từ năm 1964 với sự hỗ trợ của gia sư tình nguyện, cùng với các lớp học nhập tịch và chuẩn bị việc làm."
10,AVANCE-Houston,Education & ESL,Northside,77009,713-869-1684,"607 Northwood St, Houston, TX 77009",avancehouston.org,Parent and early-childhood education programs including ESL Head Start and General Equivalency Diploma preparation for low-income families.,"Programas de educación para padres y primera infancia, incluyendo inglés (ESL), Head Start y preparación para el diploma de equivalencia (GED), para familias de bajos ingresos.","برنامه‌های آموزش والدین و دوران کودکی اولیه شامل زبان انگلیسی (ESL)، Head Start و آمادگی برای دیپلم معادل (GED) برای خانواده‌های کم‌درآمد.","Các chương trình giáo dục cho phụ huynh và trẻ nhỏ, bao gồm tiếng Anh (ESL), Head Start và chuẩn bị cho bằng GED, dành cho các gia đình thu nhập thấp."
